permit_number,geocode,permit_issued_date,address,dwellings,construction_type,permit_type,description,city
2013-MSS-COM-00196,04220029116010000,2014-03-26,1500 S 14TH ST,63,Commercial Construction,None,SUMMIT VIEW SQUARE,Missoula
2013-MSS-COM-00196,04220029116020000,2014-03-26,1500 S 14TH ST,63,Commercial Construction,None,SUMMIT VIEW SQUARE,Missoula
2013-MSS-COM-00196,04220029116030000,2014-03-26,1500 S 14TH ST,63,Commercial Construction,None,SUMMIT VIEW SQUARE,Missoula
2013-MSS-COM-00199,04220020316125001,2014-04-30,2241 S 3RD ST W  #101,6,Commercial Construction,BNMRB,LOT B BENNETTS ADD BLK 15,Missoula
2013-MSS-COM-00199,04220020316125002,2014-04-30,2241 S 3RD ST W  #101,6,Commercial Construction,BNMRB,LOT B BENNETTS ADD BLK 15,Missoula
2013-MSS-COM-00261,04220018401160000,2014-04-17,3645-A CLARK FORK WAY,1,Commercial Construction,BNCON,MINI STORAGE BLDG A - LOT B CONCRETE ADDITION,Missoula
2013-MSS-COM-00342,04220016107290000,2014-04-01,909 CHARLO ST,4,Commercial Construction,BNMRA,LOT 9A SCHOOL ADDITION,Missoula
2013-MSS-RES-00844,04209213207220000,2014-06-03,4840 JEFF DR,1,Residential Construction,BNSFR,LOT 9 LINDA VISTA 12TH,Missoula
2013-MSS-RES-00856,04220015405040000,2014-04-10,1812 ELISON LN,1,Residential Construction,BNSFR,LOT 4 RATTLESNAKE PH 1,Missoula
2013-MSS-RES-00869,04209213207170000,2014-03-27,4890 JEFF DR,1,Residential Construction,None,,Missoula
2013-MSS-RES-00876,04220020217140000,2014-04-11,710 RIVER PL,1,Residential Construction,BNSFR,LOT 13 RIVER PLACE,Missoula
2013-MSS-RES-00972,04209213207570000,2014-03-12,5075 JEFF DR,1,Residential Construction,BNSFR,LOT 31 LINDA VISTA 12TH,Missoula
2013-MSS-RES-00974,04219912102255015,2014-02-05,2575 FREEDOM LP,1,Residential Construction,None,ENVELOPE #16,Missoula
2013-MSS-RES-00989,04219912205470000,2014-01-13,5322 RESISTOL LN,1,Residential Construction,None,LOT 85 A 44 RANCH PH 5,Missoula
2013-MSS-RES-00999,04220029121170000,2014-01-06,1415 GRANT ST,1,Residential Construction,None,DALYS ADDITION LOT 2A BLK 56,Missoula
2013-MSS-RES-01008,04219910301190000,2014-01-09,2619 WEDGEWOOD CT,1,Residential Construction,None,LOT 19 PHANTOM HILLS,Missoula
2013-MSS-RES-01011,04220027225030000,2014-01-03,322 UNIVERSITY AVE,1,Residential Construction,None,,Missoula
2013-MSS-RES-01024,04220032402340000,2014-01-08,3775 RUSSELL ST,1,Residential Construction,None,BELLVUE ADD LOT 1A,Missoula
2013-MSS-RES-01027,04220014314040000,2014-05-20,2215 MISSOULA AVE,1,Residential Construction,BNSFR,,Missoula
2014-MSS-COM-00011,04220015322030000,2014-03-27,630 N 05TH ST W,9,Commercial Construction,None,"LOTS 13, 14 & 1/2 OF 12, BLK 63 URLINS ADD",Missoula
2014-MSS-COM-00030,04220017213070000,2014-04-07,2550 GREAT NORTHERN AVE,36,Commercial Construction,BNMRB,ASPEN PLACE APARTMENTS,Missoula
2014-MSS-COM-00041,04220021346120000,2014-03-24,1269 DAKOTA ST,3,Commercial Construction,None,,Missoula
