permit_number,geocode,permit_issued_date,address,dwellings,construction_type,permit_type,description,city
2014-MSS-RES-00763,04220015320070000,2016-04-15,825 N 6TH ST W,1,Residential Construction,BNSFR,LOT 9A URLINS ADD BLK 65,Missoula
2015-MSS-COM-00354,04220020313110000,2016-02-12,2005 S 4TH ST W,4,Commercial Construction,BNMRA,4-PLEX #1 LOTS 1-3 BLK 7 LOWS ADDITION,Missoula
2015-MSS-COM-00360,04220021347050000,2016-02-08,110 S CALIFORNIA ST,6,Commercial Construction,BNMRB,LOT 19-20 BLK 1 COOKS ADD,Missoula
2015-MSS-RES-00682,04220019401350000,2016-05-04,740 PRESTON ST,1,Residential Construction,BNSFR,LOT 15 PRESTON ST,Missoula
2015-MSS-RES-00809,04219910308050000,2016-02-29,3011 RUSTLER DR,1,Residential Construction,BNSFR,,Missoula
2015-MSS-RES-00828,04220019315140000,2016-01-11,3088 SUMMERFIELD DR,1,Residential Construction,BNSFR,LOT 14 WATER WHEEL TRAILS,Missoula
2015-MSS-RES-00879,04219910308260000,2016-03-14,2834 CAMPSITE PL,1,Residential Construction,BNSFR,,Missoula
2015-MSS-RES-00918,04220019315130000,2016-01-29,3096 SUMMERFIELD DR,1,Residential Construction,BNSFR,LOT 13 WATER WHEEL TRAILS,Missoula
2015-MSS-RES-00990,04220034308020000,2016-03-09,216 WESTVIEW DR,1,Residential Construction,BNSFR,LOT 29 FARVIEWS,Missoula
2015-MSS-RES-01055,04220019314110000,2016-03-14,590 VERANDA WAY,1,Residential Construction,BNSFR,LOT 11 TERRACES ON 3RD,Missoula
2015-MSS-RES-01056,04220019314120000,2016-03-14,570 VERANDA WAY,1,Residential Construction,BNSFR,LOT 12 TERRACES ON 3RD,Missoula
2015-MSS-RES-01057,04220019314200000,2016-03-14,670 VERANDA WAY,1,Residential Construction,BNSFR,LOT 20 TERRACES ON 3RD,Missoula
2015-MSS-RES-01065,04219912102255026,2016-03-14,2529 FREEDOM LP,1,Residential Construction,BNSFR,ENV 26 FLYNN RANCH,Missoula
2015-MSS-RES-01066,04219912102255028,2016-03-14,2517 FREEDOM LP,1,Residential Construction,BNSFR,ENV 28 FLYNN RANCH,Missoula
2015-MSS-RES-01093,04209213210010000,2016-01-21,7128 AVERY LN,1,Residential Construction,BNSFR,LOT 1 LINDA VISTA ESTATES PH 1,Missoula
2015-MSS-RES-01098,04219912208240000,2016-01-19,5345 FILLY LN,1,Residential Construction,BNSFR,LOT 195 44 RANCH PH 7B,Missoula
2015-MSS-RES-01116,04219912208120000,2016-01-11,5330 FILLY LN,1,Residential Construction,BNSFR,LOT 172 44 RANCH PHASE 7B,Missoula
2015-MSS-RES-01122,04219912207210000,2016-01-22,2501 HALF HITCH DR,1,Residential Construction,BNSFR,LOT 114 44 RANCH,Missoula
2016-MSS-COM-00069,04220021204150000,2016-06-06,210 N CALIFORNIA ST,24,Commercial Construction,BNMRB,NEW 24 UNIT BLDG,Missoula
2016-MSS-COM-00086,04220020109230000,2016-04-28,1617 MONTANA ST,1,Commercial Construction,BNCON,CUSTOM BIRDWORKS,Missoula
2016-MSS-COM-00090,04220020426137006,2016-08-12,1905 TRAIL ST,14,Commercial Construction,BNMRB,TRAIL ST CONDOS PHASE 5,Missoula
2016-MSS-COM-00091,04220020426137007,2016-08-12,1915 TRAIL ST,12,Commercial Construction,BNMRB,TRAIL ST CONDOS PHASE 6,Missoula
2016-MSS-COM-00110,04220029157300000,2016-06-14,1839 S 09TH ST,6,Commercial Construction,BNMRB,LOT 9 & 10 DALY ADD BLK 40,Missoula
2016-MSS-COM-00115,04220020411250000,2016-06-13,1928 S 5TH ST W,3,Commercial Construction,BNMRA,LOT 15 LOWES ADD BLK 8,Missoula
2016-MSS-COM-00135,04220031180037000,2016-06-27,2625 DEARBORN AVE  #201,25,Commercial Construction,BNCON,LOT 1 D & R ADDITION OLD FORT RD CONDO DEV -/ COMMERCIAL SPACE,Missoula
2016-MSS-COM-00135,04220031180037101,2016-06-27,2625 DEARBORN AVE  #201,25,Commercial Construction,BNCON,LOT 1 D & R ADDITION OLD FORT RD CONDO DEV -/ COMMERCIAL SPACE,Missoula
2016-MSS-COM-00135,04220031180037102,2016-06-27,2625 DEARBORN AVE  #201,25,Commercial Construction,BNCON,LOT 1 D & R ADDITION OLD FORT RD CONDO DEV -/ COMMERCIAL SPACE,Missoula
2016-MSS-COM-00135,04220031180037103,2016-06-27,2625 DEARBORN AVE  #201,25,Commercial Construction,BNCON,LOT 1 D & R ADDITION OLD FORT RD CONDO DEV -/ COMMERCIAL SPACE,Missoula
2016-MSS-COM-00135,04220031180037201,2016-06-27,2625 DEARBORN AVE  #201,25,Commercial Construction,BNCON,LOT 1 D & R ADDITION OLD FORT RD CONDO DEV -/ COMMERCIAL SPACE,Missoula
